Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Thu Oct 13 17:11:23 +0000 2016,@ATTCares THEN tell me you can't help because its too late....really?  WHILE I WAS ON HOLD WITH YOU??,Neutral,54.5324,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Thu Oct 13 17:10:42 +0000 2016,Wow @ATTCares you cut off my phone WHILE I'M ON THE PHONE WITH YOU?  REALLY??,Negative,85.0363,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Thu Oct 13 16:50:41 +0000 2016,"@ATTCares one of your operators seriously just said my issue isn't her problem and hung up on me. Wow, just wow.",Negative,96.8213,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Thu Oct 13 16:44:31 +0000 2016,RT @ATT: It’s here! Get a sweet deal on the new iPhone 7 when you switch to AT&amp;T and have DIRECTV. https://t.co/xJbyqHjhMV https://t.co/3Wf…,Positive,98.0584,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Thu Oct 13 16:32:26 +0000 2016,RT @ATT: It’s here! Get a sweet deal on the new iPhone 7 when you switch to AT&amp;T and have DIRECTV. https://t.co/xJbyqHjhMV https://t.co/3Wf…,Positive,98.0584,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Thu Oct 13 16:07:45 +0000 2016,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,Positive,84.3125,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Thu Oct 13 15:59:36 +0000 2016,@ATTCares here we are again. Whomever is getting the kick back for doing business with @Mastech should be canned. Horrible service.,Negative,91.6918,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Thu Oct 13 15:43:45 +0000 2016,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,Positive,84.3125,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Thu Oct 13 15:38:22 +0000 2016,RT @Uverse: 💓 or 💔? Catch the premiere of #BenandLauren on @FreeformTV? Tune in next week at 8/7c to see if the fairy tale continued after…,Positive,91.5561,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Thu Oct 13 15:34:55 +0000 2016,RT @Uverse: 💓 or 💔? Catch the premiere of #BenandLauren on @FreeformTV? Tune in next week at 8/7c to see if the fairy tale continued after…,Positive,91.5561,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Thu Oct 13 15:32:15 +0000 2016,RT @ATT: It’s here! Get a sweet deal on the new iPhone 7 when you switch to AT&amp;T and have DIRECTV. https://t.co/xJbyqHjhMV https://t.co/3Wf…,Positive,98.0584,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Thu Oct 13 15:06:00 +0000 2016,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,Positive,84.3125,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Thu Oct 13 15:02:27 +0000 2016,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,Positive,84.3125,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Thu Oct 13 14:55:46 +0000 2016,RT @ATT: It’s here! Get a sweet deal on the new iPhone 7 when you switch to AT&amp;T and have DIRECTV. https://t.co/xJbyqHjhMV https://t.co/3Wf…,Positive,98.0584,,Twitter
